名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
谷川	名詞,固有名詞,人名,姓,*,*,谷川,タニガワ,タニガワ,s
沙織	名詞,固有名詞,人名,名,*,*,沙織,サオリ,サオリ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
沙織	名詞,固有名詞,人名,名,*,*,沙織,サオリ,サオリ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
兵庫	名詞,固有名詞,地域,一般,*,*,兵庫,ヒョウゴ,ヒョーゴ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
兵庫	名詞,固有名詞,地域,一般,*,*,兵庫,ヒョウゴ,ヒョーゴ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
兵庫	名詞,固有名詞,地域,一般,*,*,兵庫,ヒョウゴ,ヒョーゴ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
っぽく	形容詞,接尾,*,*,形容詞・アウオ段,連用テ接続,っぽい,ッポク,ッポク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
EOS
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,i
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ,i
EOS
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
嬢	名詞,一般,*,*,*,*,嬢,ジョウ,ジョー,s
っぽく	形容詞,接尾,*,*,形容詞・アウオ段,連用テ接続,っぽい,ッポク,ッポク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
ドンマイ	感動詞,*,*,*,*,*,ドンマイ,ドンマイ,ドンマイ,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
っぽく	形容詞,接尾,*,*,形容詞・アウオ段,連用テ接続,っぽい,ッポク,ッポク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
年少	名詞,形容動詞語幹,*,*,*,*,年少,ネンショウ,ネンショー,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
はず	名詞,非自立,一般,*,*,*,はず,ハズ,ハズ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
震災	名詞,一般,*,*,*,*,震災,シンサイ,シンサイ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
震災	名詞,一般,*,*,*,*,震災,シンサイ,シンサイ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
延期	名詞,サ変接続,*,*,*,*,延期,エンキ,エンキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
尼崎	名詞,固有名詞,地域,一般,*,*,尼崎,アマガサキ,アマガサキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
叔母	名詞,一般,*,*,*,*,叔母,オバ,オバ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
んち	名詞,接尾,一般,*,*,*,んち,ンチ,ンチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
LDK	名詞,一般,*,*,*,*,LDK,LDK,LDK,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
、	記号,読点,*,*,*,*,、,、,、,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
、	記号,読点,*,*,*,*,、,、,、,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
