はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
喋れ	動詞,自立,*,*,一段,連用形,喋れる,シャベレ,シャベレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
い	名詞,一般,*,*,*,*,い,イ,イ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
じゃー	感動詞,*,*,*,*,*,じゃー,ジャー,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
質問	名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン,i
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,i
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,i
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
質問	名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
東大阪	名詞,固有名詞,地域,一般,*,*,東大阪,ヒガシオオサカ,ヒガシオーサカ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
いつ	名詞,代名詞,一般,*,*,*,いつ,イツ,イツ,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,i
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
東大阪	名詞,固有名詞,地域,一般,*,*,東大阪,ヒガシオオサカ,ヒガシオーサカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
八尾	名詞,固有名詞,一般,*,*,*,八尾,ヤオ,ヤオ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
病院	名詞,一般,*,*,*,*,病院,ビョウイン,ビョーイン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
東大阪	名詞,固有名詞,地域,一般,*,*,東大阪,ヒガシオオサカ,ヒガシオーサカ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
自宅	名詞,一般,*,*,*,*,自宅,ジタク,ジタク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
八尾市	名詞,固有名詞,地域,一般,*,*,八尾市,ヤオシ,ヤオシ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
