はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
、	記号,読点,*,*,*,*,、,、,、,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
堀井	名詞,固有名詞,人名,姓,*,*,堀井,ホリイ,ホリイ,s
渚	名詞,固有名詞,人名,名,*,*,渚,ナギサ,ナギサ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
構成	名詞,サ変接続,*,*,*,*,構成,コウセイ,コーセイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
構成	名詞,サ変接続,*,*,*,*,構成,コウセイ,コーセイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
弟	名詞,一般,*,*,*,*,弟,オトウト,オトート,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
なぎ	名詞,固有名詞,人名,名,*,*,なぎ,ナギ,ナギ,i
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
生い立ち	名詞,一般,*,*,*,*,生い立ち,オイタチ,オイタチ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
、	記号,読点,*,*,*,*,、,、,、,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
、	記号,読点,*,*,*,*,、,、,、,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
小さい	形容詞,自立,*,*,形容詞・アウオ段,基本形,小さい,チイサイ,チーサイ,i
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
、	記号,読点,*,*,*,*,、,、,、,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
語っ	動詞,自立,*,*,五段・ラ行,連用タ接続,語る,カタッ,カタッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
、	記号,読点,*,*,*,*,、,、,、,i
生い立ち	名詞,一般,*,*,*,*,生い立ち,オイタチ,オイタチ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
四月	名詞,副詞可能,*,*,*,*,四月,シガツ,シガツ,s
