はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
、	記号,読点,*,*,*,*,、,、,、,i
はじめ	動詞,自立,*,*,一段,連用形,はじめる,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
今年	名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
九月	名詞,副詞可能,*,*,*,*,九月,クガツ,クガツ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
、	記号,読点,*,*,*,*,、,、,、,i
やっと	副詞,一般,*,*,*,*,やっと,ヤット,ヤット,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
早く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
酒	名詞,一般,*,*,*,*,酒,サケ,サケ,s
飲ま	動詞,自立,*,*,五段・マ行,未然形,飲む,ノマ,ノマ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
早く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
酒	名詞,一般,*,*,*,*,酒,サケ,サケ,s
飲み	動詞,自立,*,*,五段・マ行,連用形,飲む,ノミ,ノミ,s
たく	助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
たぶん	副詞,一般,*,*,*,*,たぶん,タブン,タブン,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
あんま	副詞,助詞類接続・縮約形,*,*,*,*,あんまり,アンマ,アンマ,s
強く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク,s
なさ	助動詞,*,*,*,特殊・ナイ,ソウ接続,ない,ナサ,ナサ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
厳しい	形容詞,自立,*,*,形容詞・イ段,基本形,厳しい,キビシイ,キビシイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
酒飲み	名詞,一般,*,*,*,*,酒飲み,サケノミ,サケノミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
、	記号,読点,*,*,*,*,、,、,、,s
免許	名詞,サ変接続,*,*,*,*,免許,メンキョ,メンキョ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
取っ	動詞,自立,*,*,五段・ラ行,連用タ接続,取る,トッ,トッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
海外	名詞,一般,*,*,*,*,海外,カイガイ,カイガイ,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
海外	名詞,一般,*,*,*,*,海外,カイガイ,カイガイ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
、	記号,読点,*,*,*,*,、,、,、,s
国内	名詞,一般,*,*,*,*,国内,コクナイ,コクナイ,s
ばっか	助詞,副助詞,*,*,*,*,ばっか,バッカ,バッカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
最近	名詞,副詞可能,*,*,*,*,最近,サイキン,サイキン,s
あんま	副詞,助詞類接続・縮約形,*,*,*,*,あんまり,アンマ,アンマ,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
京都	名詞,固有名詞,地域,一般,*,*,京都,キョウト,キョート,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
近場	名詞,一般,*,*,*,*,近場,チカバ,チカバ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
、	記号,読点,*,*,*,*,、,、,、,s
